Last Round Average Time,Best Average Time,Last Round Single Time,Rank,Best Single Time,Name,Representation
6.2,5.6,5.97,5,4.26,Kyle Santucci,Canada
6.13,5.6,5.54,1,4.26,Kyle Santucci,Canada
6.49,5.6,5.9,1,4.26,Kyle Santucci,Canada
6.19,5.6,5.68,1,4.26,Kyle Santucci,Canada
6.43,5.6,5.88,1,4.26,Kyle Santucci,Canada
6.56,5.6,5.6,1,4.26,Kyle Santucci,Canada
6.25,5.6,5.46,1,4.26,Kyle Santucci,Canada
7.12,5.6,5.12,1,4.26,Kyle Santucci,Canada
6,5.6,5.52,1,4.26,Kyle Santucci,Canada
6.28,5.6,5.48,1,4.26,Kyle Santucci,Canada
6.73,5.6,4.35,1,4.26,Kyle Santucci,Canada
6.72,5.81,5.77,6,4.28,Kaichen Huang (黄楷宸),China
7.29,5.81,6.13,9,4.28,Kaichen Huang (黄楷宸),China
7.76,5.81,5.94,14,4.28,Kaichen Huang (黄楷宸),China
5.81,5.81,4.98,2,4.28,Kaichen Huang (黄楷宸),China
6.25,5.81,5.56,5,4.28,Kaichen Huang (黄楷宸),China
6.34,5.58,5.88,6,4.28,Lingkun Jiang (姜凌坤),China
6.98,5.58,5.25,6,4.28,Lingkun Jiang (姜凌坤),China
6.78,5.58,6.61,9,4.28,Lingkun Jiang (姜凌坤),China
6,5.58,5.08,2,4.28,Lingkun Jiang (姜凌坤),China
6.34,5.58,4.42,6,4.28,Lingkun Jiang (姜凌坤),China
6.47,5.58,5.82,5,4.28,Lingkun Jiang (姜凌坤),China
6.42,5.58,4.57,5,4.28,Lingkun Jiang (姜凌坤),China
6.11,5.58,4.68,4,4.28,Lingkun Jiang (姜凌坤),China
6.56,5.58,5.13,4,4.28,Lingkun Jiang (姜凌坤),China
6.26,5.58,5.89,5,4.28,Lingkun Jiang (姜凌坤),China
5.75,5.58,5.44,1,4.28,Lingkun Jiang (姜凌坤),China
5.83,5.58,5.39,5,4.28,Lingkun Jiang (姜凌坤),China
6.41,5.24,4.58,1,4.31,Leo Borromeo,Philippines
5.27,5.24,5.03,1,4.31,Leo Borromeo,Philippines
7.11,5.24,5.6,7,4.31,Leo Borromeo,Philippines
6.63,5.24,4.89,1,4.31,Leo Borromeo,Philippines
5.85,5.24,5.29,1,4.31,Leo Borromeo,Philippines
6.94,6.19,5.78,3,4.32,Nancy Liu,United States
7.15,6.19,6.85,4,4.32,Nancy Liu,United States
7.51,6.19,5.55,4,4.32,Nancy Liu,United States
7.21,6.19,6.21,3,4.32,Nancy Liu,United States
8.18,6.19,6.46,5,4.32,Nancy Liu,United States
7.92,6.19,6.24,2,4.32,Nancy Liu,United States
7.26,6.19,6.18,3,4.32,Nancy Liu,United States
7.19,6.19,5.58,3,4.32,Nancy Liu,United States
7.22,6.19,5.95,2,4.32,Nancy Liu,United States
7.07,6.19,5.4,2,4.32,Nancy Liu,United States
7.48,6.07,5.15,1,4.32,Sebastian Weyer,Germany
6.86,6.07,5.7,3,4.32,Sebastian Weyer,Germany
7.09,6.07,6.6,22,4.32,Sebastian Weyer,Germany
6.52,6.07,5.64,5,4.32,Sebastian Weyer,Germany
6.49,6.07,5.01,1,4.32,Sebastian Weyer,Germany
6.87,6.07,6.65,2,4.32,Sebastian Weyer,Germany
6.71,6.07,6.32,1,4.32,Sebastian Weyer,Germany
6.43,6.07,6.11,3,4.32,Sebastian Weyer,Germany
7.67,6.07,6.58,2,4.32,Sebastian Weyer,Germany
7.34,6.07,6.36,2,4.32,Sebastian Weyer,Germany
6.78,6.07,5.76,4,4.32,Sebastian Weyer,Germany
7.17,6.07,6.46,2,4.32,Sebastian Weyer,Germany
7.45,6.07,6.16,1,4.32,Sebastian Weyer,Germany
6.58,6.07,6.11,1,4.32,Sebastian Weyer,Germany
7.07,6.07,6.35,3,4.32,Sebastian Weyer,Germany
7.65,6.62,5.68,1,4.33,Ciarán Beahan,Ireland
7.13,6.62,6.47,25,4.33,Ciarán Beahan,Ireland
8.35,6.62,6.65,17,4.33,Ciarán Beahan,Ireland
7.18,6.62,5.42,2,4.33,Ciarán Beahan,Ireland
7.96,6.62,6.45,3,4.33,Ciarán Beahan,Ireland
7.63,6.62,6.9,2,4.33,Ciarán Beahan,Ireland
6.7,6.62,6.27,1,4.33,Ciarán Beahan,Ireland
8.28,6.62,6.43,4,4.33,Ciarán Beahan,Ireland
7.93,6.62,6.74,2,4.33,Ciarán Beahan,Ireland
6.83,6.62,5.97,1,4.33,Ciarán Beahan,Ireland
7.28,6.62,6.31,1,4.33,Ciarán Beahan,Ireland
7.65,6.62,7.35,11,4.33,Ciarán Beahan,Ireland
6.68,6.62,6.5,1,4.33,Ciarán Beahan,Ireland
7.18,6.62,6.3,1,4.33,Ciarán Beahan,Ireland
7.06,6.62,6.15,1,4.33,Ciarán Beahan,Ireland
7.99,6.62,6.84,1,4.33,Ciarán Beahan,Ireland
7.89,6.62,6.07,2,4.33,Ciarán Beahan,Ireland
7.01,6.62,6.62,1,4.33,Ciarán Beahan,Ireland
6.21,5.56,5.42,5,4.33,Zhaokun Li (李昭昆),China
5.88,5.56,5.55,1,4.33,Zhaokun Li (李昭昆),China
6.23,5.56,5.55,5,4.33,Zhaokun Li (李昭昆),China
6.22,5.56,5.44,3,4.33,Zhaokun Li (李昭昆),China
6.55,5.56,5.27,6,4.33,Zhaokun Li (李昭昆),China
6.15,5.56,5.33,3,4.33,Zhaokun Li (李昭昆),China
